CompanyCode__,VendorNumber__,DifferentInvoicingParty__,OrderNumber__,OrderDate__,OrderedAmount__,DeliveredAmount__,InvoicedAmount__,Currency__,Buyer__,Receiver__,IsLocalPO__,IsCreatedInERP__,NoMoreInvoiceExpected__
"SG78","1000052997","","4662000010","2023-11-16","3300","0","0","SGD","RAYPHOON","RAYPHOON","NO","Yes","NO"
"SG77","1000011975","","4662000011","2023-11-16","5","0","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","8888000043","","4662000012","2023-11-16","9","4.5","4.5","SGD","KELI","KELI","NO","Yes","NO"
"SG77","9999991100","","4662000013","2023-11-16","90","0","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000011975","","4662000014","2023-11-22","1000","1000","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","8888000043","","4662000015","2023-11-22","50","50","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","9999991100","","4662000016","2023-11-22","200","200","0","USD","KELI","KELI","NO","Yes","NO"
"SG77","8888000043","","4662000017","2023-11-22","9","9","9","SGD","WANGSIYA","WANGSIYA","NO","Yes","Yes"
"SG77","9999991100","","4662000018","2023-11-23","500","250","250","USD","KELI","KELI","NO","Yes","NO"
"SG77","1000244757","","4662000019","2023-12-11","2430","0","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000151841","","4662000020","2023-12-11","245","0","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000151841","","4662000021","2023-12-11","1480","0","0","SGD","KELI","KELI","NO","Yes","NO"
"SG88","1000342275","","4662000022","2023-12-11","1040","0","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000241899","","4662000023","2023-12-11","3160","0","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000152085","","4662000025","2023-12-11","350","0","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000152085","","4662000026","2023-12-11","350","0","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000152085","","4662000027","2023-12-11","350","0","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000366487","","4662000028","2023-12-11","1852.5","0","0","SGD","KELI","KELI","NO","Yes","NO"
"SG82","1000366487","","4662000029","2023-12-11","598.56","0","0","SGD","KELI","KELI","NO","Yes","NO"
"SG88","1000151893","","4662000030","2023-12-11","741","0","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000151893","","4662000031","2023-12-11","28560","0","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000151931","","4662000032","2023-12-11","3570","0","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000152038","","4662000033","2023-12-13","28420","0","0","SGD","KELI","KELI","NO","Yes","NO"
"SG79","1000198920","","4662000034","2023-12-13","700","0","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000152352","","4662000035","2023-12-13","4200","0","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000152057","","4662000036","2023-12-14","55","55","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000152057","","4662000037","2023-12-14","500","500","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000152057","","4662000038","2023-12-14","500","500","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000152057","","4662000039","2023-12-14","500","500","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000152057","","4662000040","2023-12-14","18510","18510","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000152057","","4662000041","2023-12-14","550","550","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000152057","","4662000042","2023-12-14","1848","1848","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000152057","","4662000043","2023-12-14","3750","3750","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000152057","","4662000044","2023-12-14","7500","7500","0","SGD","KELI","KELI","NO","Yes","NO"
"SG77","1000152057","","4662000045","2023-12-14","2574","2574","0","SGD","KELI","KELI","NO","Yes","NO"
